YGR167W	YGR167W@chrVII:832455-833157(+)
YHL032C	YHL032C@chrVIII:36378-38508(-)
YDR541C	YDR541C@chrIV:1519663-1520698(-)
YDL001W	YDL001W@chrIV:447983-449276(+)
YJL136C	YJL136C@chrX:156549-157273(-)
YLR465C	YLR465C@chrXII:1067044-1067353(-)
YGR240C	YGR240C@chrVII:970770-973734(-)
YPL038W	YPL038W@chrXVI:480534-481068(+)
YGR031C-A	YGR031C-A@chrVII:546808-547300(-)
YDL172C	YDL172C@chrIV:148606-149086(-)
YDR517W	YDR517W@chrIV:1477238-1478357(+)
YGL114W	YGL114W@chrVII:293459-295637(+)
YGL052W	YGL052W@chrVII:403436-403742(+)
YIL151C	YIL151C@chrIX:57337-60694(-)
YHL002W	YHL002W@chrVIII:102611-103970(+)
YFL046W	YFL046W@chrVI:42814-43438(+)
YPL216W	YPL216W@chrXVI:143820-147129(+)
YOR113W	YOR113W@chrXV:534074-536819(+)
YLR321C	YLR321C@chrXII:776583-777864(-)
snR74	snR74@chrXIII:298138-298225(+)
YDL214C	YDL214C@chrIV:74445-76545(-)
YKL208W	YKL208W@chrXI:47156-47972(+)
YER074W	YER074W@chrV:306322-307196(+)
YGR205W	YGR205W@chrVII:909212-910085(+)
YBR183W	YBR183W@chrII:596114-597065(+)
YBR016W	YBR016W@chrII:270246-270633(+)
YKL134C	YKL134C@chrXI:189123-191442(-)
YHL034W-A	YHL034W-A@chrVIII:33175-33637(+)
YIL106W	YIL106W@chrIX:166414-167444(+)
YER141W	YER141W@chrV:453458-454919(+)
YBL102W	YBL102W@chrII:24097-24745(+)
YOL139C	YOL139C@chrXV:60382-61024(-)
YBR147W	YBR147W@chrII:536574-537465(+)
YOR048C	YOR048C@chrXV:418629-421650(-)
YBL021C	YBL021C@chrII:181659-182094(-)
YHL019W-A	YHL019W-A@chrVIII:67710-68304(+)
YKL096W	YKL096W@chrXI:261131-261851(+)
YDL077C	YDL077C@chrIV:316970-320120(-)
YER137C	YER137C@chrV:441372-441819(-)
YLL046C	YLL046C@chrXII:46713-47463(-)
YPL259C	YPL259C@chrXVI:51243-52671(-)
YER157W	YER157W@chrV:484787-487193(+)
YHL042W	YHL042W@chrVIII:15666-16119(+)
YDR322W	YDR322W@chrIV:1110588-1111692(+)
YKL037W	YKL037W@chrXI:369364-369721(+)
YMR073C	YMR073C@chrXIII:412267-412873(-)
YEL005C	YEL005C@chrV:145906-146755(-)
YNL266W	YNL266W@chrXIV:144244-144664(+)
YNL069C	YNL069C@chrXIV:493955-495001(-)
YJL191W	YJL191W@chrX:73786-74611(+)
YMR046W-A	YMR046W-A@chrXIII:362701-362830(+)
YAL047C	YAL047C@chrI:54988-56857(-)
YOR135C	YOR135C@chrXV:580158-580500(-)
snR66	snR66@chrXIV:586090-586175(+)
YMR307W	YMR307W@chrXIII:887002-888682(+)
YML127W	YML127W@chrXIII:17063-18809(+)
YGR148C	YGR148C@chrVII:787311-787779(-)
YGL092W	YGL092W@chrVII:337905-341859(+)
YPR184W	YPR184W@chrXVI:902043-906654(+)
YER188C-A	YER188C-A@chrV:569607-569907(-)
YBL100C	YBL100C@chrII:36988-37303(-)
YBR139W	YBR139W@chrII:515663-517190(+)
YNL262W	YNL262W@chrXIV:148211-154880(+)
YKL096W-A	YKL096W-A@chrXI:259252-259531(+)
YCR087W	YCR087W@chrIII:263975-264491(+)
YER153C	YER153C@chrV:474040-474805(-)
YER124C	YER124C@chrV:407341-409063(-)
YJR117W	YJR117W@chrX:642006-643368(+)
YDL092W	YDL092W@chrIV:292780-293221(+)
YDR101C	YDR101C@chrIV:655685-657467(-)
YKR060W	YKR060W@chrXI:556517-557342(+)
YMR024W	YMR024W@chrXIII:321874-323047(+)
YIL027C	YIL027C@chrIX:303678-304104(-)
YDR462W	YDR462W@chrIV:1386072-1386516(+)
YLR157C-A	YLR157C-A@chrXII:480278-481601(-)
YKL024C	YKL024C@chrXI:392525-393140(-)
YPL022W	YPL022W@chrXVI:506696-509999(+)
YGR249W	YGR249W@chrVII:988048-989419(+)
YOL164W-A	YOL164W-A@chrXV:4129-4312(+)
YIR013C	YIR013C@chrIX:380018-380384(-)
YAL049C	YAL049C@chrI:51854-52595(-)
YDL118W	YDL118W@chrIV:247301-247682(+)
YJR068W	YJR068W@chrX:567642-568704(+)
YLR021W	YLR021W@chrXII:183622-184162(+)
YMR029C	YMR029C@chrXIII:328659-330231(-)
YDR452W	YDR452W@chrIV:1362877-1364902(+)
YNL027W	YNL027W@chrXIV:579579-581616(+)
YLR090W	YLR090W@chrXII:320700-322080(+)
YGR061C	YGR061C@chrVII:611888-615965(-)
YAR015W	YAR015W@chrI:169374-170295(+)
YGL248W	YGL248W@chrVII:35652-36762(+)
YGR273C	YGR273C@chrVII:1038714-1039239(-)
YLR121C	YLR121C@chrXII:388743-390270(-)
YGR128C	YGR128C@chrVII:747949-750091(-)
YOR351C	YOR351C@chrXV:995017-996511(-)
YOL103W-B	YOL103W-B@chrXV:117999-123268(+)
YGL201C	YGL201C@chrVII:117853-120907(-)
YPL159C	YPL159C@chrXVI:250906-251668(-)
YKL018W	YKL018W@chrXI:404101-405091(+)
YKL153W	YKL153W@chrXI:163599-164109(+)
YLR409C	YLR409C@chrXII:934413-937233(-)
YIL050W	YIL050W@chrIX:258912-259770(+)
YNL220W	YNL220W@chrXIV:234412-235714(+)
YDR524W-C	YDR524W-C@chrIV:1489402-1489492(+)
YLR387C	YLR387C@chrXII:896373-897672(-)
YOR314W-A	YOR314W-A@chrXV:904457-904568(+)
YER093C-A	YER093C-A@chrV:347911-348400(-)
YMR121C	YMR121C@chrXIII:509733-510348(-)
YNL320W	YNL320W@chrXIV:37699-38554(+)
YKR047W	YKR047W@chrXI:525256-525562(+)
YGR169C-A	YGR169C-A@chrVII:836386-836665(-)
YGL123W	YGL123W@chrVII:277616-278381(+)
YDR184C	YDR184C@chrIV:830628-831513(-)
YJL056C	YJL056C@chrX:330430-333073(-)
YJL079C	YJL079C@chrX:289874-290774(-)
YCR077C	YCR077C@chrIII:250237-252628(-)
YOR154W	YOR154W@chrXV:624728-626492(+)
YBR188C	YBR188C@chrII:603684-604107(-)
YDL158C	YDL158C@chrIV:173865-174174(-)
PWR1	PWR1@chrIX:395999-396939(+)
YER047C	YER047C@chrV:243809-246503(-)
YCL036W	YCL036W@chrIII:59025-60726(+)
YBR290W	YBR290W@chrII:782590-783556(+)
YDR328C	YDR328C@chrIV:1125433-1126018(-)
YFR040W	YFR040W@chrVI:234241-237250(+)
YIL157C	YIL157C@chrIX:46948-47542(-)
Q0275	Q0275@chrM:79212-80022(+)
YOR138C	YOR138C@chrXV:584308-586324(-)
YML016C	YML016C@chrXIII:239457-241536(-)
YPL147W	YPL147W@chrXVI:273254-275867(+)
YDR031W	YDR031W@chrIV:503497-503863(+)
YNL048W	YNL048W@chrXIV:538172-539819(+)
YKR025W	YKR025W@chrXI:487769-488618(+)
YFL057C	YFL057C@chrVI:14304-14763(-)
YDR493W	YDR493W@chrIV:1436216-1436588(+)
YDR261W-A	YDR261W-A@chrIV:981461-982778(+)
YIR036C	YIR036C@chrIX:422073-422865(-)
YCL048W	YCL048W@chrIII:42164-43556(+)
YNL191W	YNL191W@chrXIV:280431-281505(+)
YMR023C	YMR023C@chrXIII:319436-321017(-)
YPL129W	YPL129W@chrXVI:305297-306137(+)
YKL031W	YKL031W@chrXI:382071-382485(+)
YPL214C	YPL214C@chrXVI:148568-150191(-)
YAL056W	YAL056W@chrI:39258-41901(+)
YPR163C	YPR163C@chrXVI:868644-869955(-)
YLR207W	YLR207W@chrXII:556787-559289(+)
YCR046C	YCR046C@chrIII:209913-210423(-)
YML095C	YML095C@chrXIII:81480-82113(-)
YEL021W	YEL021W@chrV:116166-116970(+)
YGR253C	YGR253C@chrVII:998357-999140(-)
YPL220W	YPL220W@chrXVI:135789-136443(+)
YNL117W	YNL117W@chrXIV:406357-408022(+)
YLR170C	YLR170C@chrXII:500578-501049(-)
YDL032W	YDL032W@chrIV:393689-394001(+)
YOL166W-A	YOL166W-A@chrXV:584-740(+)
YCR019W	YCR019W@chrIII:152836-153928(+)
YHR023W	YHR023W@chrVIII:151665-157452(+)
YDL086W	YDL086W@chrIV:301412-302234(+)
YBR124W	YBR124W@chrII:486506-486866(+)
YDL085W	YDL085W@chrIV:303210-304848(+)
YOL007C	YOL007C@chrXV:311341-312367(-)
YER031C	YER031C@chrV:214075-214747(-)
YIL105W-A	YIL105W-A@chrIX:167663-167804(+)
YIL065C	YIL065C@chrIX:241307-241775(-)
YLL039C	YLL039C@chrXII:64061-65207(-)
YKR098C	YKR098C@chrXI:633025-635179(-)
YKL016C	YKL016C@chrXI:407464-407989(-)
YPL266W	YPL266W@chrXVI:39120-40077(+)
YHR160C	YHR160C@chrVIII:419220-420072(-)
YMR168C	YMR168C@chrXIII:597331-599158(-)
YDR279W	YDR279W@chrIV:1019367-1020420(+)
YLR159C-A	YLR159C-A@chrXII:485710-485842(-)
YLR029C	YLR029C@chrXII:201975-202590(-)
YPR128C	YPR128C@chrXVI:791217-792204(-)
YBR227C	YBR227C@chrII:673571-675134(-)
YNL004W	YNL004W@chrXIV:622914-624621(+)
YOR223W	YOR223W@chrXV:759781-760660(+)
YJR082C	YJR082C@chrX:581913-582255(-)
YIL134W	YIL134W@chrIX:97394-98330(+)
snR191	snR191@chrXIV:721938-722211(-)
YJR002W	YJR002W@chrX:438864-440646(+)
YBL067C	YBL067C@chrII:93638-95882(-)
YGR161W-A	YGR161W-A@chrVII:811737-813054(+)
YJR097W	YJR097W@chrX:612412-612931(+)
YPR145W	YPR145W@chrXVI:822619-824338(+)
YGL230C	YGL230C@chrVII:63771-64215(-)
YGL109W	YGL109W@chrVII:303512-303836(+)
YOL099C	YOL099C@chrXV:132016-132508(-)
YLR353W	YLR353W@chrXII:834351-836163(+)
YOL095C	YOL095C@chrXV:139226-141347(-)
snR8	snR8@chrXV:832332-832521(+)
YOL019W-A	YOL019W-A@chrXV:288419-288572(+)
YHL045W	YHL045W@chrVIII:12501-12849(+)
YDL166C	YDL166C@chrIV:163448-164042(-)
YML025C	YML025C@chrXIII:224405-225365(-)
YKL067W	YKL067W@chrXI:314811-315273(+)
YDR510C-A	YDR510C-A@chrIV:1469694-1469811(-)
YFR002W	YFR002W@chrVI:150015-152535(+)
ETS1-1	ETS1-1@chrXII:457733-458432(-)
YOR394C-A	YOR394C-A@chrXV:1084201-1084369(-)
YDR413C	YDR413C@chrIV:1294835-1295411(-)
YER093C	YER093C@chrV:343319-347612(-)
YBR285W	YBR285W@chrII:773921-774356(+)
YJL108C	YJL108C@chrX:217704-218856(-)
YIL068W-A	YIL068W-A@chrIX:233012-233396(+)
YLR082C	YLR082C@chrXII:292393-293572(-)
YGL090W	YGL090W@chrVII:343318-344584(+)
YDR103W	YDR103W@chrIV:658349-661103(+)
YKL087C	YKL087C@chrXI:277188-277863(-)
YOR279C	YOR279C@chrXV:843697-844630(-)
YCL049C	YCL049C@chrIII:39785-40724(-)
YDR203W	YDR203W@chrIV:857681-857999(+)
YOL100W	YOL100W@chrXV:129236-132482(+)
YOR220W	YOR220W@chrXV:755327-756125(+)
YGL237C	YGL237C@chrVII:52730-53528(-)
YKL202W	YKL202W@chrXI:63820-64402(+)
YDR210W-B	YDR210W-B@chrIV:872111-877425(+)
YJL110C	YJL110C@chrX:209921-211577(-)
YBL029W	YBL029W@chrII:166133-167264(+)
YMR270C	YMR270C@chrXIII:805325-806423(-)
YDR416W	YDR416W@chrIV:1298431-1301011(+)
YGR106C	YGR106C@chrVII:698988-699786(-)
YDR535C	YDR535C@chrIV:1506605-1507362(-)
YNL317W	YNL317W@chrXIV:40618-42016(+)
YDL242W	YDL242W@chrIV:18958-19312(+)
YDR433W	YDR433W@chrIV:1329599-1330040(+)
YOL164W	YOL164W@chrXV:6174-8115(+)
YLR158C	YLR158C@chrXII:482548-483637(-)
YOR293W	YOR293W@chrXV:867097-867852(+)
YOL009C	YOL009C@chrXV:309323-310139(-)
YDR128W	YDR128W@chrIV:709548-712995(+)
YNL184C	YNL184C@chrXIV:292556-292883(-)
YNL109W	YNL109W@chrXIV:418963-419509(+)
YNL037C	YNL037C@chrXIV:557919-559002(-)
YGL118C	YGL118C@chrVII:288013-288451(-)
YIL010W	YIL010W@chrIX:334881-335529(+)
YLR331C	YLR331C@chrXII:790668-791046(-)
YNL071W	YNL071W@chrXIV:491522-492971(+)
YDL142C	YDL142C@chrIV:201718-202570(-)
YOL022C	YOL022C@chrXV:280271-281498(-)
YOR020C	YOR020C@chrXV:370523-370844(-)
YMR300C	YMR300C@chrXIII:865558-867091(-)
YCR003W	YCR003W@chrIII:118619-119171(+)
YPL095C	YPL095C@chrXVI:368070-369441(-)
YDR514C	YDR514C@chrIV:1471547-1472999(-)
YOL032W	YOL032W@chrXV:265428-266169(+)
YOR026W	YOR026W@chrXV:379780-380806(+)
YGL172W	YGL172W@chrVII:180699-182118(+)
YGL227W	YGL227W@chrVII:69670-72547(+)
YHL018W	YHL018W@chrVIII:69707-70070(+)
YGR096W	YGR096W@chrVII:676620-677565(+)
YOR297C	YOR297C@chrXV:874742-875321(-)
YJL037W	YJL037W@chrX:376661-377336(+)
YDL216C	YDL216C@chrIV:68996-70319(-)
YBR089W	YBR089W@chrII:425182-425782(+)
YDL202W	YDL202W@chrIV:98474-99224(+)
YKL012W	YKL012W@chrXI:418309-420061(+)
YGL208W	YGL208W@chrVII:97337-98585(+)
YJR085C	YJR085C@chrX:585119-585437(-)
YIL045W	YIL045W@chrIX:271160-272777(+)
YNL207W	YNL207W@chrXIV:255352-256630(+)
YPL074W	YPL074W@chrXVI:415762-418027(+)
YOR364W	YOR364W@chrXV:1023370-1023739(+)
YER058W	YER058W@chrV:271767-272091(+)
YLR208W	YLR208W@chrXII:559550-560444(+)
YJR152W	YJR152W@chrX:719665-721297(+)
YOR243C	YOR243C@chrXV:790210-792241(-)
YLR168C	YLR168C@chrXII:499577-500270(-)
YMR105C	YMR105C@chrXIII:475896-477606(-)
YPR117W	YPR117W@chrXVI:760024-767494(+)
YOR316C-A	YOR316C-A@chrXV:907725-907935(-)
YPL130W	YPL130W@chrXVI:304386-305058(+)
YPL011C	YPL011C@chrXVI:533641-534703(-)
YIL083C	YIL083C@chrIX:203555-204653(-)
YOR280C	YOR280C@chrXV:844991-845792(-)
YOR212W	YOR212W@chrXV:742909-744181(+)
YIR021W	YIR021W@chrIX:397293-398385(+)
YHR127W	YHR127W@chrVIII:360912-361644(+)
YJL178C	YJL178C@chrX:89281-90097(-)
YOR277C	YOR277C@chrXV:841514-841823(-)
YAL001C	YAL001C@chrI:147593-151166(-)
YJR126C	YJR126C@chrX:656253-658689(-)
YOR085W	YOR085W@chrXV:482032-483085(+)
YDL109C	YDL109C@chrIV:265257-267201(-)
YMR290W-A	YMR290W-A@chrXIII:851421-851769(+)
YMR183C	YMR183C@chrXIII:626920-627808(-)
YER045C	YER045C@chrV:240031-241501(-)
YLR247C	YLR247C@chrXII:628683-633354(-)
YLR440C	YLR440C@chrXII:1015567-1017697(-)
YGR271W	YGR271W@chrVII:1031790-1037694(+)
YJL137C	YJL137C@chrX:154984-156127(-)
YLL062C	YLL062C@chrXII:16638-17613(-)
YDR450W	YDR450W@chrIV:1359922-1360798(+)
snR58	snR58@chrXV:136088-136183(-)
YBR138C	YBR138C@chrII:513761-515336(-)
YDR193W	YDR193W@chrIV:844553-844952(+)
YOR097C	YOR097C@chrXV:506977-507505(-)
YPR086W	YPR086W@chrXVI:710100-711138(+)
YJL168C	YJL168C@chrX:102226-104428(-)
YHR101C	YHR101C@chrVIII:314873-315968(-)
YLL066W-A	YLL066W-A@chrXII:6485-6968(+)
YML065W	YML065W@chrXIII:142209-144954(+)
YLR218C	YLR218C@chrXII:573465-573918(-)
YGR099W	YGR099W@chrVII:687898-689965(+)
YLR179C	YLR179C@chrXII:514107-514713(-)
YFR052W	YFR052W@chrVI:252504-253329(+)
YOR348C	YOR348C@chrXV:986898-988782(-)
YBL066C	YBL066C@chrII:96668-100115(-)
YBR076C-A	YBR076C-A@chrII:391350-391617(-)
YPR050C	YPR050C@chrXVI:664952-665366(-)
YML058W-A	YML058W-A@chrXIII:158759-158966(+)
YNL119W	YNL119W@chrXIV:401039-402521(+)
YKR092C	YKR092C@chrXI:612664-613885(-)
YAL035W	YAL035W@chrI:76426-79435(+)
YGR089W	YGR089W@chrVII:656959-659770(+)
YJR016C	YJR016C@chrX:464450-466208(-)
YCL001W-B	YCL001W-B@chrIII:113769-114024(+)
Q0105	Q0105@chrM:36539-43647(+)
YNL128W	YNL128W@chrXIV:382358-383663(+)
YOR292C	YOR292C@chrXV:865652-866582(-)
YDR032C	YDR032C@chrIV:504098-504695(-)
YBR021W	YBR021W@chrII:281442-283344(+)
YNL055C	YNL055C@chrXIV:517993-518845(-)
YHR044C	YHR044C@chrVIII:194067-194808(-)
YCL057W	YCL057W@chrIII:24767-26906(+)
YNL074C	YNL074C@chrXIV:486765-488124(-)
YHR037W	YHR037W@chrVIII:181976-183704(+)
YKL223W	YKL223W@chrXI:2388-2721(+)
YDR255C	YDR255C@chrIV:966556-967822(-)
YCL055W	YCL055W@chrIII:27928-28936(+)
YAL066W	YAL066W@chrI:10090-10399(+)
YBR173C	YBR173C@chrII:581725-582172(-)
YIL092W	YIL092W@chrIX:189065-190967(+)
YDR182W	YDR182W@chrIV:827581-829057(+)
YMR272C	YMR272C@chrXIII:809622-810777(-)
YLR067C	YLR067C@chrXII:267812-270710(-)
YMR173W-A	YMR173W-A@chrXIII:608896-610081(+)
YKL141W	YKL141W@chrXI:179666-180263(+)
YDR400W	YDR400W@chrIV:1271062-1272085(+)
YKL196C	YKL196C@chrXI:74931-75534(-)
YOL072W	YOL072W@chrXV:194969-196337(+)
YER172C-A	YER172C-A@chrV:536274-536655(-)
YKL114C	YKL114C@chrXI:223351-224455(-)
YJL123C	YJL123C@chrX:188003-189440(-)
YGR109C	YGR109C@chrVII:705358-706501(-)
YML048W	YML048W@chrXIII:178425-179637(+)
YDR065W	YDR065W@chrIV:580686-581784(+)
YPL165C	YPL165C@chrXVI:237955-239077(-)
YDR334W	YDR334W@chrIV:1135931-1140476(+)
YHR175W-A	YHR175W-A@chrVIII:453557-453707(+)
YPL186C	YPL186C@chrXVI:194511-195426(-)
YNR037C	YNR037C@chrXIV:695051-695327(-)
YLL036C	YLL036C@chrXII:66744-68256(-)
YNR018W	YNR018W@chrXIV:664269-664944(+)
YMR150C	YMR150C@chrXIII:561955-562528(-)
YDR112W	YDR112W@chrIV:679543-679852(+)
YDR090C	YDR090C@chrIV:625065-625998(-)
YCR092C	YCR092C@chrIII:276763-279820(-)
YJL077W-A	YJL077W-A@chrX:294798-294885(+)
YAL067C	YAL067C@chrI:7234-9016(-)
YBL039C-A	YBL039C-A@chrII:144947-145031(-)
YGL021W	YGL021W@chrVII:454784-457067(+)
YNL115C	YNL115C@chrXIV:410118-412053(-)
YJR156C	YJR156C@chrX:728573-729596(-)
YJR115W	YJR115W@chrX:639941-640451(+)
YDL217C	YDL217C@chrIV:67982-68606(-)
YLR335W	YLR335W@chrXII:797429-799592(+)
YBR136W	YBR136W@chrII:505667-512774(+)
YNL143C	YNL143C@chrXIV:356793-357186(-)
YBR302C	YBR302C@chrII:810339-811479(-)
YNL301C	YNL301C@chrXIV:63569-64562(-)
YGL154C	YGL154C@chrVII:215277-216096(-)
YKL055C	YKL055C@chrXI:335320-336157(-)
YPL127C	YPL127C@chrXVI:308827-309604(-)
YMR022W	YMR022W@chrXIII:318679-319177(+)
YEL020C	YEL020C@chrV:118616-120299(-)
YPR062W	YPR062W@chrXVI:677164-677641(+)
YNL019C	YNL019C@chrXIV:598375-599230(-)
YLR204W	YLR204W@chrXII:552269-552605(+)
YKL155C	YKL155C@chrXI:159455-161342(-)
YLR441C	YLR441C@chrXII:1018140-1018908(-)
YLR227C	YLR227C@chrXII:590561-592043(-)
YMR112C	YMR112C@chrXIII:494099-494495(-)
YLL023C	YLL023C@chrXII:97996-98836(-)
YEL057C	YEL057C@chrV:45019-45721(-)
YMR227C	YMR227C@chrXIII:722612-724385(-)
YNR020C	YNR020C@chrXIV:667409-668222(-)
YMR065W	YMR065W@chrXIII:399701-401216(+)
YLR264C-A	YLR264C-A@chrXII:673827-673944(-)
YOR343W-A	YOR343W-A@chrXV:970577-971894(+)
YDR298C	YDR298C@chrIV:1058175-1058814(-)
YOL046C	YOL046C@chrXV:243465-244140(-)
YOR218C	YOR218C@chrXV:751475-751895(-)
YLL002W	YLL002W@chrXII:146290-147601(+)
YNR034W-A	YNR034W-A@chrXIV:692560-692857(+)
YPR038W	YPR038W@chrXVI:646835-647195(+)
YDR227W	YDR227W@chrIV:917570-921647(+)
YDL189W	YDL189W@chrIV:122215-123589(+)
YER190W	YER190W@chrV:571479-576525(+)
YDL162C	YDL162C@chrIV:167358-167715(-)
YKR027W	YKR027W@chrXI:491363-493661(+)
YDR118W	YDR118W@chrIV:685881-687840(+)
YNL293W	YNL293W@chrXIV:80639-82541(+)
YBR082C	YBR082C@chrII:406627-407169(-)
YOR271C	YOR271C@chrXV:831058-832042(-)
YPR023C	YPR023C@chrXVI:608825-610031(-)
YGL167C	YGL167C@chrVII:187615-190468(-)
YDR481C	YDR481C@chrIV:1418549-1420250(-)
YPL029W	YPL029W@chrXVI:495505-497719(+)
YBR202W	YBR202W@chrII:625771-628309(+)
YDR117C	YDR117C@chrIV:683945-685643(-)
YKL085W	YKL085W@chrXI:279122-280127(+)
YEL029C	YEL029C@chrV:96857-97796(-)
YIL054W	YIL054W@chrIX:254542-254860(+)
YMR079W	YMR079W@chrXIII:424988-426059(+)
YOR246C	YOR246C@chrXV:795800-796793(-)
YJR005W	YJR005W@chrX:445922-448025(+)
YBR054W	YBR054W@chrII:343100-344135(+)
YOR145C	YOR145C@chrXV:605346-606171(-)
YNL324W	YNL324W@chrXIV:31049-31445(+)
YPL189W	YPL189W@chrXVI:189153-190983(+)
YML022W	YML022W@chrXIII:228936-229500(+)
YBR024W	YBR024W@chrII:289444-290350(+)
YDR404C	YDR404C@chrIV:1276653-1277169(-)
YBR196C	YBR196C@chrII:612235-613900(-)
YER026C	YER026C@chrV:207643-208474(-)
YLR198C	YLR198C@chrXII:547285-547645(-)
YCR095C	YCR095C@chrIII:288169-289258(-)
YER044C	YER044C@chrV:237569-238016(-)
YOR349W	YOR349W@chrXV:989788-992833(+)
YMR260C	YMR260C@chrXIII:789377-789839(-)
YBR046C	YBR046C@chrII:330506-331511(-)
YJL124C	YJL124C@chrX:187125-187644(-)
YBR196C-B	YBR196C-B@chrII:614525-614630(-)
YLL001W	YLL001W@chrXII:147889-150163(+)
YER070W	YER070W@chrV:298949-301616(+)
YCL067C	YCL067C@chrIII:12385-13018(-)
YBR288C	YBR288C@chrII:778011-779463(-)
YMR240C	YMR240C@chrXIII:749929-751240(-)
YPL042C	YPL042C@chrXVI:473039-474707(-)
YCR013C	YCR013C@chrIII:138401-139049(-)
YJR109C	YJR109C@chrX:629584-632941(-)
YDR369C	YDR369C@chrIV:1215015-1217580(-)
YAR064W	YAR064W@chrI:220197-220497(+)
YBR195C	YBR195C@chrII:610613-611882(-)
YJL199C	YJL199C@chrX:59855-60182(-)
YGR270C-A	YGR270C-A@chrVII:1027381-1027600(-)
YHR012W	YHR012W@chrVIII:129480-130448(+)
YFL041W-A	YFL041W-A@chrVI:48733-48925(+)
YFL021W	YFL021W@chrVI:95965-97498(+)
YHR136C	YHR136C@chrVIII:374653-375100(-)
YNL114C	YNL114C@chrXIV:412683-413055(-)
YIR042C	YIR042C@chrIX:435272-435983(-)
YAR060C	YAR060C@chrI:217156-217492(-)
YDL152W	YDL152W@chrIV:182821-183187(+)
YJL177W	YJL177W@chrX:90785-91657(+)
YMR182C	YMR182C@chrXIII:624531-625167(-)
YPL124W	YPL124W@chrXVI:316754-317516(+)
YNL212W	YNL212W@chrXIV:247460-249809(+)
YIL069C	YIL069C@chrIX:231552-232369(-)
YPL219W	YPL219W@chrXVI:136749-138228(+)
YFL034C-B	YFL034C-B@chrVI:63015-63993(-)
YOL103W	YOL103W@chrXV:124000-125830(+)
YBL107W-A	YBL107W-A@chrII:9267-9372(+)
YGR147C	YGR147C@chrVII:786053-786920(-)
YPL191C	YPL191C@chrXVI:183596-184679(-)
YKL063C	YKL063C@chrXI:321014-321518(-)
YGR074W	YGR074W@chrVII:635711-636152(+)
YPL184C	YPL184C@chrXVI:195949-197788(-)
YMR188C	YMR188C@chrXIII:636290-637004(-)
YNR038W	YNR038W@chrXIV:695594-697484(+)
YJL120W	YJL120W@chrX:191021-191345(+)
YGR006W	YGR006W@chrVII:506069-506825(+)
YJL011C	YJL011C@chrX:414284-414770(-)
YOL126C	YOL126C@chrXV:81786-82920(-)
YLR402W	YLR402W@chrXII:924888-925080(+)
YOR155C	YOR155C@chrXV:626627-627980(-)
YLR444C	YLR444C@chrXII:1023685-1023988(-)
YHR069C	YHR069C@chrVIII:233578-234658(-)
YGL006W	YGL006W@chrVII:485920-489442(+)
YLR041W	YLR041W@chrXII:229376-229697(+)
YPL243W	YPL243W@chrXVI:88516-90316(+)
snR77	snR77@chrXIII:297506-297593(+)
YDR243C	YDR243C@chrIV:948517-950284(-)
YBR085W	YBR085W@chrII:415982-416906(+)
YAL031C	YAL031C@chrI:84748-87031(-)
YJR116W	YJR116W@chrX:640824-641664(+)
YDR022C	YDR022C@chrIV:488071-488662(-)
YPL156C	YPL156C@chrXVI:255912-256767(-)
YOR264W	YOR264W@chrXV:818865-820158(+)
YDL075W	YDL075W@chrIV:322225-322988(+)
YEL019C	YEL019C@chrV:120497-121301(-)
YGL128C	YGL128C@chrVII:269292-270144(-)
YFR056C	YFR056C@chrVI:263956-264325(-)
YJL027C	YJL027C@chrX:391832-392249(-)
YJL106W	YJL106W@chrX:221389-223327(+)
YJL002C	YJL002C@chrX:433220-434651(-)
YMR143W	YMR143W@chrXIII:551927-552903(+)
YOR029W	YOR029W@chrXV:384599-384935(+)
Q0085	Q0085@chrM:28486-29266(+)
YNL075W	YNL075W@chrXIV:485606-486479(+)
YMR020W	YMR020W@chrXIII:315376-316903(+)
YGR067C	YGR067C@chrVII:622371-624786(-)
YGR226C	YGR226C@chrVII:946791-947001(-)
YDR165W	YDR165W@chrIV:784870-786205(+)
YLR342W	YLR342W@chrXII:809996-815627(+)
YHR132C	YHR132C@chrVIII:368501-369794(-)
YMR108W	YMR108W@chrXIII:484083-486147(+)
YBL053W	YBL053W@chrII:119334-119709(+)
YGL056C	YGL056C@chrVII:396034-397618(-)
YDR091C	YDR091C@chrIV:626707-628534(-)
YJL125C	YJL125C@chrX:185527-186679(-)
YFL023W	YFL023W@chrVI:90985-93376(+)
YIR004W	YIR004W@chrIX:363220-364519(+)
YBR002C	YBR002C@chrII:241707-242568(-)
YNL284C-A	YNL284C-A@chrXIV:100909-102232(-)
YEL009C-A	YEL009C-A@chrV:136370-136778(-)
YOR163W	YOR163W@chrXV:642740-643307(+)
YOR383C	YOR383C@chrXV:1060440-1061055(-)
YDR072C	YDR072C@chrIV:589760-591344(-)
YHR186C	YHR186C@chrVIII:475998-480672(-)
YOL129W	YOL129W@chrXV:77559-78114(+)
YER083C	YER083C@chrV:326173-327031(-)
YFL030W	YFL030W@chrVI:76830-77988(+)
YNR009W	YNR009W@chrXIV:642689-643439(+)
YHR009C	YHR009C@chrVIII:124108-125680(-)
YNL322C	YNL322C@chrXIV:33293-34235(-)
YIL173W	YIL173W@chrIX:11491-16141(+)
YBL011W	YBL011W@chrII:203537-205817(+)
YNL296W	YNL296W@chrXIV:76272-76587(+)
YBL033C	YBL033C@chrII:158655-159693(-)
