YIL046W-A	YIL046W-A@chrIX:268116(+)
YPR034W	YPR034W@chrXVI:639460(+)
YJR041C	YJR041C@chrX:513836(-)
YNL114C	YNL114C@chrXIV:413262(-)
YDR429C	YDR429C@chrIV:1325318(-)
YIL093C	YIL093C@chrIX:188853(-)
YIR039C	YIR039C@chrIX:432114(-)
YHR152W	YHR152W@chrVIII:401403(+)
YOR006C	YOR006C@chrXV:338661(-)
YGR145W	YGR145W@chrVII:781712(+)
YOR322C	YOR322C@chrXV:921300(-)
YGR117C	YGR117C@chrVII:726511(-)
YDL083C	YDL083C@chrIV:307807(-)
YBL071W-A	YBL071W-A@chrII:89943(+)
YJL003W	YJL003W@chrX:432597(+)
YMR142C	YMR142C@chrXIII:551227(-)
YJL153C	YJL153C@chrX:135937(-)
YHR182W	YHR182W@chrVIII:468184(+)
YAL042W	YAL042W@chrI:61300(+)
YLR357W	YLR357W@chrXII:841275(+)
YOR343C	YOR343C@chrXV:968649(-)
YHR166C	YHR166C@chrVIII:439118(-)
YLR121C	YLR121C@chrXII:390291(-)
YER171W	YER171W@chrV:526969(+)
YKL074C	YKL074C@chrXI:296217(-)
YOL055C	YOL055C@chrXV:226122(-)
YAL034W-A	YAL034W-A@chrI:79689(+)
YDR019C	YDR019C@chrIV:485369(-)
YJL173C	YJL173C@chrX:96537(-)
YKR046C	YKR046C@chrXI:525083(-)
YNL254C	YNL254C@chrXIV:169296(-)
YDL044C	YDL044C@chrIV:375314(-)
YOL135C	YOL135C@chrXV:70068(-)
YDL201W	YDL201W@chrIV:99485(+)
YEL018W	YEL018W@chrV:121467(+)
YDL057W	YDL057W@chrIV:351399(+)
YNL219C	YNL219C@chrXIV:237809(-)
YGR080W	YGR080W@chrVII:641995(+)
YGL016W	YGL016W@chrVII:461610(+)
YNL245C	YNL245C@chrXIV:186904(-)
YGL064C	YGL064C@chrVII:383220(-)
YIL125W	YIL125W@chrIX:122414(+)
YHR085W	YHR085W@chrVIII:276741(+)
YBR233W-A	YBR233W-A@chrII:684938(+)
YEL059C-A	YEL059C-A@chrV:42676(-)
YFL021C-A	YFL021C-A@chrVI:97252(-)
YML087C	YML087C@chrXIII:95379(-)
YJL151C	YJL151C@chrX:136806(-)
YBL087C	YBL087C@chrII:60762(-)
YOR243C	YOR243C@chrXV:792258(-)
YML127W	YML127W@chrXIII:16989(+)
YFL001W	YFL001W@chrVI:147093(+)
YOR017W	YOR017W@chrXV:361369(+)
YEL062W	YEL062W@chrV:34394(+)
YNL123W	YNL123W@chrXIV:394652(+)
YMR233W	YMR233W@chrXIII:739140(+)
YNL169C	YNL169C@chrXIV:317778(-)
YFR047C	YFR047C@chrVI:245200(-)
YDL200C	YDL200C@chrIV:101071(-)
YDR472W	YDR472W@chrIV:1403283(+)
YIR001C	YIR001C@chrIX:356960(-)
YGL167C	YGL167C@chrVII:190844(-)
YLR268W	YLR268W@chrXII:680152(+)
YLR283W	YLR283W@chrXII:705162(+)
YIL139C	YIL139C@chrIX:88737(-)
YML100W	YML100W@chrXIII:70583(+)
YGL263W	YGL263W@chrVII:2778(+)
YHL034C	YHL034C@chrVIII:34196(-)
YDR436W	YDR436W@chrIV:1334568(+)
YIL111W	YIL111W@chrIX:155191(+)
YIL152W	YIL152W@chrIX:56532(+)
YLR005W	YLR005W@chrXII:160012(+)
YMR099C	YMR099C@chrXIII:464850(-)
YBL078C	YBL078C@chrII:80775(-)
YLR303W	YLR303W@chrXII:732501(+)
YFR044C	YFR044C@chrVI:241455(-)
YOR032W-A	YOR032W-A@chrXV:389682(+)
YNL236W	YNL236W@chrXIV:206883(+)
YNL069C	YNL069C@chrXIV:495016(-)
YFL027C	YFL027C@chrVI:81927(-)
YMR300C	YMR300C@chrXIII:867217(-)
YOL152W	YOL152W@chrXV:40738(+)
YER073W	YER073W@chrV:303952(+)
YGL123W	YGL123W@chrVII:277519(+)
YDL067C	YDL067C@chrIV:334442(-)
YIR018C-A	YIR018C-A@chrIX:386485(-)
YPR125W	YPR125W@chrXVI:787865(+)
YJL053W	YJL053W@chrX:335850(+)
YML017W	YML017W@chrXIII:236506(+)
YOR034C	YOR034C@chrXV:397305(-)
YKR076W	YKR076W@chrXI:582206(+)
YDR014W	YDR014W@chrIV:473995(+)
YHR206W	YHR206W@chrVIII:512246(+)
YML130C	YML130C@chrXIII:13275(-)
YOR332W	YOR332W@chrXV:943625(+)
YPL074W	YPL074W@chrXVI:415743(+)
YPR017C	YPR017C@chrXVI:593927(-)
YOR124C	YOR124C@chrXV:558749(-)
YBR249C	YBR249C@chrII:718084(-)
YNL163C	YNL163C@chrXIV:330138(-)
YEL058W	YEL058W@chrV:43236(+)
YPR159W	YPR159W@chrXVI:857395(+)
YBL026W	YBL026W@chrII:170578(+)
YIL042C	YIL042C@chrIX:276330(-)
YJL055W	YJL055W@chrX:333340(+)
YFR014C	YFR014C@chrVI:173927(-)
YOR255W	YOR255W@chrXV:806991(+)
YIR020C	YIR020C@chrIX:395575(-)
YNL103W-A	YNL103W-A@chrXIV:426070(+)
YGL081W	YGL081W@chrVII:357273(+)
YAL046C	YAL046C@chrI:57415(-)
YDL095W	YDL095W@chrIV:287029(+)
YDR208W	YDR208W@chrIV:868100(+)
YAL067C	YAL067C@chrI:9049(-)
YKL142W	YKL142W@chrXI:178457(+)
YBR142W	YBR142W@chrII:528259(+)
YKL093W	YKL093W@chrXI:264728(+)
YPR062W	YPR062W@chrXVI:677136(+)
YOR316C	YOR316C@chrXV:907706(-)
YBR072W	YBR072W@chrII:381956(+)
YOR080W	YOR080W@chrXV:474593(+)
YBR168W	YBR168W@chrII:572244(+)
YDR198C	YDR198C@chrIV:853988(-)
YOR210W	YOR210W@chrXV:738258(+)
YAL033W	YAL033W@chrI:82701(+)
YER142C	YER142C@chrV:456064(-)
YHR132W-A	YHR132W-A@chrVIII:370009(+)
YHR180C-B	YHR180C-B@chrVIII:467071(-)
YKL126W	YKL126W@chrXI:205499(+)
YNL099C	YNL099C@chrXIV:439307(-)
YBR060C	YBR060C@chrII:362601(-)
YGR288W	YGR288W@chrVII:1070258(+)
YGR284C	YGR284C@chrVII:1061630(-)
YOR201C	YOR201C@chrXV:721749(-)
YLR022C	YLR022C@chrXII:184927(-)
YHR018C	YHR018C@chrVIII:141457(-)
YNL079C	YNL079C@chrXIV:479205(-)
YPL089C	YPL089C@chrXVI:381418(-)
YDR110W	YDR110W@chrIV:676064(+)
YEL031W	YEL031W@chrV:90227(+)
YGL213C	YGL213C@chrVII:91264(-)
YHR024C	YHR024C@chrVIII:159230(-)
YEL016C	YEL016C@chrV:126401(-)
YOR092W	YOR092W@chrXV:495046(+)
YGL194C-A	YGL194C-A@chrVII:140216(-)
YER019C-A	YER019C-A@chrV:194584(-)
YDR473C	YDR473C@chrIV:1405908(-)
YML009C	YML009C@chrXIII:251558(-)
YOR113W	YOR113W@chrXV:533996(+)
YDL148C	YDL148C@chrIV:190616(-)
YBR243C	YBR243C@chrII:706837(-)
YLL010C	YLL010C@chrXII:130855(-)
YAR015W	YAR015W@chrI:169286(+)
YPL043W	YPL043W@chrXVI:469882(+)
YOL070C	YOL070C@chrXV:198733(-)
YKR092C	YKR092C@chrXI:613914(-)
YIL068C	YIL068C@chrIX:235533(-)
YPR049C	YPR049C@chrXVI:664721(-)
YLR272C	YLR272C@chrXII:687254(-)
YIL107C	YIL107C@chrIX:165929(-)
YJL116C	YJL116C@chrX:195072(-)
YBR055C	YBR055C@chrII:347308(-)
YPR140W	YPR140W@chrXVI:814301(+)
YBR218C	YBR218C@chrII:662311(-)
YER072W	YER072W@chrV:302788(+)
YAR014C	YAR014C@chrI:169021(-)
YLR044C	YLR044C@chrXII:234111(-)
YIL113W	YIL113W@chrIX:150527(+)
YBR286W	YBR286W@chrII:774670(+)
YGR167W	YGR167W@chrVII:832392(+)
YDL146W	YDL146W@chrIV:192559(+)
YPL157W	YPL157W@chrXVI:254694(+)
YDR370C	YDR370C@chrIV:1219120(-)
YOL036W	YOL036W@chrXV:256376(+)
YPL218W	YPL218W@chrXVI:138632(+)
YDR501W	YDR501W@chrIV:1451236(+)
YHR042W	YHR042W@chrVIII:190503(+)
YDR082W	YDR082W@chrIV:610349(+)
YIR036C	YIR036C@chrIX:422891(-)
YJL181W	YJL181W@chrX:85638(+)
YJR021C	YJR021C@chrX:469614(-)
YHR098C	YHR098C@chrVIII:302014(-)
YEL055C	YEL055C@chrV:51594(-)
YBR192W	YBR192W@chrII:607444(+)
YIL124W	YIL124W@chrIX:126173(+)
YDL090C	YDL090C@chrIV:296337(-)
YER074W-A	YER074W-A@chrV:307642(+)
YFR022W	YFR022W@chrVI:196543(+)
YGL203C	YGL203C@chrVII:114741(-)
YPL168W	YPL168W@chrXVI:231072(+)
YDR259C	YDR259C@chrIV:976003(-)
YPL028W	YPL028W@chrXVI:498032(+)
YOL164W	YOL164W@chrXV:6119(+)
YLR350W	YLR350W@chrXII:828683(+)
YLR426W	YLR426W@chrXII:987037(+)
YNL156C	YNL156C@chrXIV:342139(-)
YBR296C	YBR296C@chrII:798588(-)
YMR129W	YMR129W@chrXIII:527746(+)
YDR430C	YDR430C@chrIV:1328549(-)
YNL104C	YNL104C@chrXIV:426864(-)
YJL127C	YJL127C@chrX:184288(-)
YDL102W	YDL102W@chrIV:276791(+)
YHR091C	YHR091C@chrVIII:286797(-)
YMR008C	YMR008C@chrXIII:282692(-)
YFL034W	YFL034W@chrVI:65307(+)
YPR181C	YPR181C@chrXVI:899727(-)
YPR048W	YPR048W@chrXVI:659158(+)
YLR118C	YLR118C@chrXII:385443(-)
YDL020C	YDL020C@chrIV:416939(-)
YLL042C	YLL042C@chrXII:52639(-)
YLR298C	YLR298C@chrXII:725421(-)
YLR287C-A	YLR287C-A@chrXII:713177(-)
YDR316W	YDR316W@chrIV:1093740(+)
YMR169C	YMR169C@chrXIII:601194(-)
YHR193C-A	YHR193C-A@chrVIII:489082(-)
YML114C	YML114C@chrXIII:43754(-)
YKL208W	YKL208W@chrXI:47136(+)
YER161C	YER161C@chrV:500395(-)
YDR385W	YDR385W@chrIV:1243203(+)
YFL054C	YFL054C@chrVI:22852(-)
YLR094C	YLR094C@chrXII:329272(-)
YNL010W	YNL010W@chrXIV:613596(+)
YJL179W	YJL179W@chrX:88730(+)
YOR099W	YOR099W@chrXV:511764(+)
YBR003W	YBR003W@chrII:242780(+)
YFR048W	YFR048W@chrVI:246094(+)
YJL119C	YJL119C@chrX:192236(-)
YKR020W	YKR020W@chrXI:478321(+)
YPR094W	YPR094W@chrXVI:720617(+)
YHL021C	YHL021C@chrVIII:65919(-)
YFR041C	YFR041C@chrVI:238278(-)
YMR090W	YMR090W@chrXIII:449199(+)
YPR127W	YPR127W@chrXVI:789894(+)
YOL031C	YOL031C@chrXV:267581(-)
YGR130C	YGR130C@chrVII:753947(-)
YOR048C	YOR048C@chrXV:421682(-)
YGR268C	YGR268C@chrVII:1026668(-)
YDR441C	YDR441C@chrIV:1345211(-)
YIL034C	YIL034C@chrIX:290102(-)
YGR281W	YGR281W@chrVII:1052598(+)
YLR168C	YLR168C@chrXII:500295(-)
YLR046C	YLR046C@chrXII:239258(-)
YJR094C	YJR094C@chrX:605848(-)
YBL007C	YBL007C@chrII:216418(-)
YPL014W	YPL014W@chrXVI:527513(+)
YKR078W	YKR078W@chrXI:584935(+)
YNL295W	YNL295W@chrXIV:76809(+)
YIR003W	YIR003W@chrIX:360872(+)
YKL006C-A	YKL006C-A@chrXI:430674(-)
YLR297W	YLR297W@chrXII:723945(+)
YNL288W	YNL288W@chrXIV:90162(+)
YLR327C	YLR327C@chrXII:783475(-)
YHL009C	YHL009C@chrVIII:85184(-)
YGL147C	YGL147C@chrVII:228346(-)
YDR212W	YDR212W@chrIV:887167(+)
YDR178W	YDR178W@chrIV:817848(+)
YAR023C	YAR023C@chrI:180051(-)
YLR017W	YLR017W@chrXII:177600(+)
YER082C	YER082C@chrV:325990(-)
YEL042W	YEL042W@chrV:73569(+)
YIL134W	YIL134W@chrIX:97371(+)
YKR022C	YKR022C@chrXI:483195(-)
YJR101W	YJR101W@chrX:618138(+)
YNL321W	YNL321W@chrXIV:34688(+)
YMR269W	YMR269W@chrXIII:804426(+)
YPL101W	YPL101W@chrXVI:360170(+)
YDL048C	YDL048C@chrIV:368261(-)
YOR176W	YOR176W@chrXV:662334(+)
YER030W	YER030W@chrV:213424(+)
YAL036C	YAL036C@chrI:76184(-)
YFR046C	YFR046C@chrVI:244160(-)
YIL103W	YIL103W@chrIX:171701(+)
YJL035C	YJL035C@chrX:381054(-)
YGL247W	YGL247W@chrVII:36913(+)
YLR177W	YLR177W@chrXII:511005(+)
YEL056W	YEL056W@chrV:47117(+)
YJR126C	YJR126C@chrX:658698(-)
YNL272C	YNL272C@chrXIV:129180(-)
YPR031W	YPR031W@chrXVI:631489(+)
YDR332W	YDR332W@chrIV:1130976(+)
YAL035W	YAL035W@chrI:76401(+)
YFL014W	YFL014W@chrVI:107197(+)
YMR136W	YMR136W@chrXIII:541101(+)
YKR002W	YKR002W@chrXI:443027(+)
YGL048C	YGL048C@chrVII:411314(-)
YJL217W	YJL217W@chrX:23126(+)
YJL205C	YJL205C@chrX:50452(-)
YLL012W	YLL012W@chrXII:125477(+)
YCL050C	YCL050C@chrIII:38863(-)
YMR302C	YMR302C@chrXIII:872691(-)
YOL129W	YOL129W@chrXV:77540(+)
YIR011C	YIR011C@chrIX:378262(-)
YPR148C	YPR148C@chrXVI:828214(-)
YDR454C	YDR454C@chrIV:1366843(-)
YFR016C	YFR016C@chrVI:180837(-)
YMR009W	YMR009W@chrXIII:284049(+)
YOR130C	YOR130C@chrXV:570812(-)
YBR083W	YBR083W@chrII:408894(+)
YGR029W	YGR029W@chrVII:543553(+)
YPR051W	YPR051W@chrXVI:664938(+)
YCR047C	YCR047C@chrIII:211611(-)
YCL009C	YCL009C@chrIII:105563(-)
YHR199C	YHR199C@chrVIII:498443(-)
YMR221C	YMR221C@chrXIII:715458(-)
YNL165W	YNL165W@chrXIV:323755(+)
YNR041C	YNR041C@chrXIV:701687(-)
YNL234W	YNL234W@chrXIV:210200(+)
YJR135W-A	YJR135W-A@chrX:676951(+)
YOR239W	YOR239W@chrXV:784799(+)
YNL141W	YNL141W@chrXIV:359571(+)
YCR090C	YCR090C@chrIII:272900(-)
YBR008C	YBR008C@chrII:254427(-)
YHL046C	YHL046C@chrVIII:13291(-)
YLR027C	YLR027C@chrXII:198113(-)
YLR423C	YLR423C@chrXII:973215(-)
YMR137C	YMR137C@chrXIII:545003(-)
YNL281W	YNL281W@chrXIV:108448(+)
YGL228W	YGL228W@chrVII:67552(+)
YJL118W	YJL118W@chrX:191635(+)
YGR189C	YGR189C@chrVII:878254(-)
YDL017W	YDL017W@chrIV:424107(+)
YER167W	YER167W@chrV:517926(+)
YKL146W	YKL146W@chrXI:171762(+)
YDR363W-A	YDR363W-A@chrIV:1202106(+)
YKL154W	YKL154W@chrXI:161521(+)
YLR086W	YLR086W@chrXII:302187(+)
YBR112C	YBR112C@chrII:465945(-)
YGL194C	YGL194C@chrVII:141787(-)
YKR063C	YKR063C@chrXI:562303(-)
YKR088C	YKR088C@chrXI:605431(-)
YOR057W	YOR057W@chrXV:432119(+)
YMR120C	YMR120C@chrXIII:509323(-)
YDR052C	YDR052C@chrIV:560779(-)
YHR013C	YHR013C@chrVIII:131473(-)
YJL136C	YJL136C@chrX:157306(-)
YLR304C	YLR304C@chrXII:737587(-)
YNL241C	YNL241C@chrXIV:198002(-)
YPL207W	YPL207W@chrXVI:159832(+)
YMR284W	YMR284W@chrXIII:838141(+)
YPL097W	YPL097W@chrXVI:364924(+)
YER023W	YER023W@chrV:201051(+)
YIL043C	YIL043C@chrIX:274946(-)
YGR141W	YGR141W@chrVII:770549(+)
YNL032W	YNL032W@chrXIV:574366(+)
YPR106W	YPR106W@chrXVI:740049(+)
YHR068W	YHR068W@chrVIII:232077(+)
YLL003W	YLL003W@chrXII:143191(+)
YMR228W	YMR228W@chrXIII:724587(+)
YCL004W	YCL004W@chrIII:109027(+)
YDR096W	YDR096W@chrIV:637050(+)
YDL129W	YDL129W@chrIV:230874(+)
YKL122C	YKL122C@chrXI:213032(-)
YJR054W	YJR054W@chrX:535963(+)
YPL105C	YPL105C@chrXVI:355435(-)
YBR247C	YBR247C@chrII:714476(-)
YNL209W	YNL209W@chrXIV:252036(+)
YDR107C	YDR107C@chrIV:671049(-)
YDL113C	YDL113C@chrIV:258618(-)
YLR233C	YLR233C@chrXII:609570(-)
YJL133W	YJL133W@chrX:160542(+)
YMR202W	YMR202W@chrXIII:667512(+)
YOR098C	YOR098C@chrXV:511247(-)
YIL155C	YIL155C@chrIX:53741(-)
YMR153W	YMR153W@chrXIII:564383(+)
YML072C	YML072C@chrXIII:129537(-)
YJR124C	YJR124C@chrX:654280(-)
YML070W	YML070W@chrXIII:133431(+)
YGL160W	YGL160W@chrVII:200448(+)
YDR119W	YDR119W@chrIV:688132(+)
YBR011C	YBR011C@chrII:258006(-)
YHL038C	YHL038C@chrVIII:25544(-)
YBL072C	YBL072C@chrII:89450(-)
YBR262C	YBR262C@chrII:736084(-)
YDR463W	YDR463W@chrIV:1386771(+)
YHR188C	YHR188C@chrVIII:483858(-)
YKR093W	YKR093W@chrXI:615636(+)
YLR354C	YLR354C@chrXII:837398(-)
YOR023C	YOR023C@chrXV:377813(-)
YPL079W	YPL079W@chrXVI:406610(+)
YBR293W	YBR293W@chrII:786653(+)
YDL143W	YDL143W@chrIV:199961(+)
YMR201C	YMR201C@chrXIII:667059(-)
YLR055C	YLR055C@chrXII:253119(-)
YGR194C	YGR194C@chrVII:887876(-)
YOL097C	YOL097C@chrXV:137850(-)
YGR169C	YGR169C@chrVII:835929(-)
YHR176W	YHR176W@chrVIII:454150(+)
YKL096W-A	YKL096W-A@chrXI:259205(+)
YPL219W	YPL219W@chrXVI:136708(+)
YKR003W	YKR003W@chrXI:445273(+)
YMR062C	YMR062C@chrXIII:396394(-)
YOR117W	YOR117W@chrXV:544936(+)
YDL168W	YDL168W@chrIV:159562(+)
YPL095C	YPL095C@chrXVI:369474(-)
YOR184W	YOR184W@chrXV:679273(+)
YPL018W	YPL018W@chrXVI:517638(+)
YBL061C	YBL061C@chrII:107515(-)
YLR018C	YLR018C@chrXII:179662(-)
YBR288C	YBR288C@chrII:779491(-)
YOL092W	YOL092W@chrXV:144163(+)
YBR149W	YBR149W@chrII:539949(+)
YNL052W	YNL052W@chrXIV:531694(+)
YGL159W	YGL159W@chrVII:202714(+)
YDR224C	YDR224C@chrIV:914746(-)
YHR089C	YHR089C@chrVIII:283330(-)
YKL194C	YKL194C@chrXI:78685(-)
YPL267W	YPL267W@chrXVI:38154(+)
YNL214W	YNL214W@chrXIV:245596(+)
YER137C	YER137C@chrV:441839(-)
YAL002W	YAL002W@chrI:143612(+)
YOR327C	YOR327C@chrXV:931164(-)
YDR201W	YDR201W@chrIV:856317(+)
YJL171C	YJL171C@chrX:100926(-)
YJL185C	YJL185C@chrX:83039(-)
YOR209C	YOR209C@chrXV:737877(-)
YOL143C	YOL143C@chrXV:55142(-)
YHR209W	YHR209W@chrVIII:519404(+)
YIL098C	YIL098C@chrIX:180260(-)
YBL100W-C	YBL100W-C@chrII:28372(+)
YGL028C	YGL028C@chrVII:443076(-)
YPR192W	YPR192W@chrXVI:921845(+)
YPR029C	YPR029C@chrXVI:627011(-)
YKR062W	YKR062W@chrXI:559605(+)
YLR165C	YLR165C@chrXII:495266(-)
YNL312W	YNL312W@chrXIV:48248(+)
YPR025C	YPR025C@chrXVI:614578(-)
YGR118W	YGR118W@chrVII:726951(+)
YMR188C	YMR188C@chrXIII:637078(-)
YNL097C	YNL097C@chrXIV:442466(-)
YDR456W	YDR456W@chrIV:1367435(+)
YLR237W	YLR237W@chrXII:612300(+)
YGR279C	YGR279C@chrVII:1050053(-)
YCR045W-A	YCR045W-A@chrIII:208134(+)
YPL109C	YPL109C@chrXVI:347466(-)
YPL033C	YPL033C@chrXVI:488207(-)
YJL022W	YJL022W@chrX:398024(+)
YNL153C	YNL153C@chrXIV:346095(-)
YNL330C	YNL330C@chrXIV:19357(-)
YOR251C	YOR251C@chrXV:803487(-)
YNL082W	YNL082W@chrXIV:473346(+)
YGL043W	YGL043W@chrVII:417461(+)
YGL027C	YGL027C@chrVII:446156(-)
YKL130C	YKL130C@chrXI:196078(-)
YIL088C	YIL088C@chrIX:199426(-)
YPL273W	YPL273W@chrXVI:25014(+)
YGL073W	YGL073W@chrVII:368669(+)
YOR143C	YOR143C@chrXV:602416(-)
YKR038C	YKR038C@chrXI:513168(-)
YMR255W	YMR255W@chrXIII:777948(+)
YOR164C	YOR164C@chrXV:644373(-)
YIL049W	YIL049W@chrIX:260152(+)
YKR091W	YKR091W@chrXI:611493(+)
YOR221C	YOR221C@chrXV:757610(-)
YKL172W	YKL172W@chrXI:125740(+)
YOR132W	YOR132W@chrXV:573095(+)
YFL034C-A	YFL034C-A@chrVI:64974(-)
YGL117W	YGL117W@chrVII:288433(+)
YGL241W	YGL241W@chrVII:45423(+)
YBR104W	YBR104W@chrII:449579(+)
YHL031C	YHL031C@chrVIII:39511(-)
YJR040W	YJR040W@chrX:507691(+)
YPL007C	YPL007C@chrXVI:543886(-)
YOL127W	YOL127W@chrXV:80323(+)
YJL129C	YJL129C@chrX:177593(-)
YPL223C	YPL223C@chrXVI:129251(-)
YKR019C	YKR019C@chrXI:478174(-)
YBR098W	YBR098W@chrII:441496(+)
YAL029C	YAL029C@chrI:92522(-)
YJR055W	YJR055W@chrX:538762(+)
YNL222W	YNL222W@chrXIV:229057(+)
YMR272C	YMR272C@chrXIII:810816(-)
YDL147W	YDL147W@chrIV:190893(+)
YGL176C	YGL176C@chrVII:173124(-)
YAL039C	YAL039C@chrI:69581(-)
YNL211C	YNL211C@chrXIV:250366(-)
YGR243W	YGR243W@chrVII:977252(+)
YNL326C	YNL326C@chrXIV:28393(-)
YPR114W	YPR114W@chrXVI:753223(+)
YOR382W	YOR382W@chrXV:1059514(+)
YBL019W	YBL019W@chrII:184301(+)
YDL130W-A	YDL130W-A@chrIV:229152(+)
YCR045C	YCR045C@chrIII:209772(-)
YDR507C	YDR507C@chrIV:1465824(-)
YDL166C	YDL166C@chrIV:164096(-)
YOR005C	YOR005C@chrXV:337377(-)
YJL124C	YJL124C@chrX:187816(-)
YJL045W	YJL045W@chrX:355995(+)
YER100W	YER100W@chrV:359527(+)
YLL018C-A	YLL018C-A@chrXII:109030(-)
YDR048C	YDR048C@chrIV:555649(-)
YKR051W	YKR051W@chrXI:530829(+)
YGR191W	YGR191W@chrVII:880191(+)
YPL025C	YPL025C@chrXVI:503270(-)
YKL061W	YKL061W@chrXI:325754(+)
YNL315C	YNL315C@chrXIV:44290(-)
YBR261C	YBR261C@chrII:735567(-)
YBL021C	YBL021C@chrII:182118(-)
YOR230W	YOR230W@chrXV:770749(+)
YIL157C	YIL157C@chrIX:47546(-)
YMR316C-A	YMR316C-A@chrXIII:906833(-)
YPL148C	YPL148C@chrXVI:272952(-)
YLR291C	YLR291C@chrXII:719494(-)
YER117W	YER117W@chrV:396749(+)
YDR303C	YDR303C@chrIV:1071678(-)
YJL020C	YJL020C@chrX:402486(-)
YPL144W	YPL144W@chrXVI:280467(+)
YOR046C	YOR046C@chrXV:415939(-)
YCR075C	YCR075C@chrIII:248830(-)
YDR428C	YDR428C@chrIV:1324272(-)
YGL004C	YGL004C@chrVII:491960(-)
YER158C	YER158C@chrV:490759(-)
YMR265C	YMR265C@chrXIII:797928(-)
YLR132C	YLR132C@chrXII:408182(-)
YPL024W	YPL024W@chrXVI:503464(+)
YPL009C	YPL009C@chrXVI:538959(-)
YLR276C	YLR276C@chrXII:696926(-)
YMR314W	YMR314W@chrXIII:901666(+)
YMR215W	YMR215W@chrXIII:696718(+)
YNL154C	YNL154C@chrXIV:345509(-)
YIL019W	YIL019W@chrIX:315073(+)
YHR051W	YHR051W@chrVIII:209647(+)
YHR034C	YHR034C@chrVIII:178033(-)
YBL057C	YBL057C@chrII:113447(-)
YDR022C	YDR022C@chrIV:488690(-)
YPR068C	YPR068C@chrXVI:684369(-)
YIR022W	YIR022W@chrIX:398730(+)
YDR384C	YDR384C@chrIV:1242100(-)
YGR286C	YGR286C@chrVII:1065059(-)
YPL175W	YPL175W@chrXVI:218567(+)
YNR008W	YNR008W@chrXIV:640365(+)
YGR111W	YGR111W@chrVII:715788(+)
YPL052W	YPL052W@chrXVI:458742(+)
YBL046W	YBL046W@chrII:132424(+)
YML052W	YML052W@chrXIII:170372(+)
YNL065W	YNL065W@chrXIV:503631(+)
YBR271W	YBR271W@chrII:744821(+)
YDL054C	YDL054C@chrIV:361374(-)
YOR171C	YOR171C@chrXV:653952(-)
YER093C-A	YER093C-A@chrV:348421(-)
YER024W	YER024W@chrV:202160(+)
YDL093W	YDL093W@chrIV:289861(+)
YER094C	YER094C@chrV:349436(-)
YER051W	YER051W@chrV:254640(+)
YNL059C	YNL059C@chrXIV:514951(-)
YLL026W	YLL026W@chrXII:88567(+)
YOL052C	YOL052C@chrXV:233701(-)
YGR222W	YGR222W@chrVII:939923(+)
YNL225C	YNL225C@chrXIV:224516(-)
YDR295C	YDR295C@chrIV:1054910(-)
YMR027W	YMR027W@chrXIII:325799(+)
YJL059W	YJL059W@chrX:324929(+)
YOR163W	YOR163W@chrXV:642704(+)
YEL054C	YEL054C@chrV:53245(-)
YOL058W	YOL058W@chrXV:219139(+)
YER012W	YER012W@chrV:177774(+)
YDL195W	YDL195W@chrIV:107089(+)
YGR192C	YGR192C@chrVII:883849(-)
YGR056W	YGR056W@chrVII:601613(+)
YDR142C	YDR142C@chrIV:741777(-)
YLR071C	YLR071C@chrXII:278678(-)
YJL063C	YJL063C@chrX:316498(-)
YFR033C	YFR033C@chrVI:224875(-)
YIL014C-A	YIL014C-A@chrIX:325614(-)
YNL259C	YNL259C@chrXIV:157894(-)
YNL049C	YNL049C@chrXIV:537925(-)
YNL077W	YNL077W@chrXIV:481243(+)
YHR020W	YHR020W@chrVIII:143860(+)
YOR244W	YOR244W@chrXV:792473(+)
YDR277C	YDR277C@chrIV:1015860(-)
YDL216C	YDL216C@chrIV:70338(-)
YDR108W	YDR108W@chrIV:671205(+)
YIL002W-A	YIL002W-A@chrIX:350273(+)
YDR063W	YDR063W@chrIV:578595(+)
YER086W	YER086W@chrV:328438(+)
YBL055C	YBL055C@chrII:116889(-)
YFR037C	YFR037C@chrVI:229216(-)
YKL048C	YKL048C@chrXI:349221(-)
YFR026C	YFR026C@chrVI:207259(-)
YDR337W	YDR337W@chrIV:1146270(+)
YBR086C	YBR086C@chrII:423332(-)
YOL101C	YOL101C@chrXV:127945(-)
YDR450W	YDR450W@chrIV:1359902(+)
YDR496C	YDR496C@chrIV:1443431(-)
YER103W	YER103W@chrV:364535(+)
YLR452C	YLR452C@chrXII:1041538(-)
YDL131W	YDL131W@chrIV:227357(+)
YKL213C	YKL213C@chrXI:34145(-)
YHR111W	YHR111W@chrVIII:333068(+)
YLR340W	YLR340W@chrXII:805827(+)
YCL051W	YCL051W@chrIII:35585(+)
YPR086W	YPR086W@chrXVI:710068(+)
YHR101C	YHR101C@chrVIII:316000(-)
YHL023C	YHL023C@chrVIII:62595(-)
YPL054W	YPL054W@chrXVI:455674(+)
YMR311C	YMR311C@chrXIII:897642(-)
YKR053C	YKR053C@chrXI:535356(-)
YDR262W	YDR262W@chrIV:993123(+)
YMR071C	YMR071C@chrXIII:411345(-)
YCL010C	YCL010C@chrIII:104370(-)
YDR273W	YDR273W@chrIV:1010133(+)
YBR080C	YBR080C@chrII:400916(-)
YLR021W	YLR021W@chrXII:183576(+)
